idmen_care,AHENTSEX,AHENTAGE,AHENTCOH,SCORE_AIDE
988,2.0,57.0,0,0.0
1005,2.0,62.0,0,0.0
1005,1.0,62.0,0,0.0
1005,2.0,56.0,0,0.0
1005,1.0,61.0,0,0.0
1007,2.0,59.0,1,0.0
1013,2.0,60.0,0,0.0
1014,1.0,22.0,1,0.0
1014,1.0,29.0,0,0.0
1017,2.0,60.0,0,0.0
1018,1.0,66.0,1,0.0
1022,1.0,62.0,1,1.0
1024,1.0,28.0,1,2.0
1024,1.0,81.0,1,1.0
1029,1.0,24.0,0,0.0
1029,2.0,76.0,0,0.0
1029,2.0,37.0,0,0.0
1032,1.0,67.0,0,2.0
1032,1.0,33.0,0,0.0
1041,1.0,38.0,0,0.0
1043,2.0,59.0,1,2.0
1048,1.0,68.0,1,0.0
1051,2.0,42.0,0,1.0
1051,2.0,34.0,0,1.0
1059,2.0,62.0,1,1.0
1061,2.0,72.0,0,0.0
1062,2.0,61.0,1,0.0
1066,1.0,36.0,1,3.0
1066,2.0,32.0,0,3.0
1066,2.0,37.0,0,3.0
1066,2.0,25.0,0,3.0
1067,1.0,62.0,1,3.0
1069,1.0,68.0,1,0.0
1075,2.0,40.0,0,0.0
1077,1.0,71.0,1,1.0
1077,2.0,44.0,0,4.0
1077,2.0,35.0,0,5.0
1089,2.0,47.0,1,3.0
1101,2.0,61.0,1,1.0
1117,2.0,59.0,1,0.0
1122,1.0,66.0,1,0.0
1123,2.0,62.0,1,4.0
1123,1.0,37.0,0,0.0
1123,1.0,26.0,0,0.0
1123,2.0,36.0,0,0.0
1126,2.0,72.0,1,0.0
1126,1.0,39.0,0,0.0
1128,2.0,45.0,0,1.0
1133,2.0,62.0,1,2.0
1133,1.0,41.0,0,1.0
1138,1.0,60.0,1,2.0
1139,1.0,72.0,1,1.0
1140,1.0,60.0,1,0.0
1140,2.0,36.0,1,0.0
1140,1.0,36.0,1,0.0
1141,2.0,58.0,1,4.0
1144,1.0,53.0,0,2.0
1148,1.0,68.0,1,0.0
1150,2.0,74.0,1,0.0
1155,2.0,31.0,1,1.0
1158,2.0,64.0,1,0.0
1164,2.0,70.0,1,2.0
1169,1.0,42.0,0,0.0
1169,2.0,27.0,0,0.0
1172,2.0,61.0,1,2.0
1172,1.0,90.0,0,0.0
1172,2.0,25.0,1,0.0
1172,2.0,22.0,1,0.0
1175,2.0,35.0,0,2.0
1175,2.0,45.0,0,1.0
1180,2.0,44.0,1,4.0
1183,2.0,46.0,0,0.0
1183,1.0,42.0,0,0.0
1186,1.0,68.0,0,0.0
1187,2.0,60.0,1,0.0
1189,2.0,64.0,1,6.0
1189,1.0,25.0,1,1.0
1209,2.0,61.0,0,0.0
1221,2.0,44.0,0,0.0
1235,1.0,63.0,0,1.0
1238,1.0,65.0,0,1.0
1242,1.0,59.0,1,0.0
1245,1.0,67.0,1,0.0
1248,2.0,45.0,0,0.0
1252,2.0,64.0,1,1.0
1254,1.0,70.0,1,0.0
1254,1.0,41.0,0,0.0
1255,1.0,68.0,1,1.0
1255,2.0,82.0,0,1.0
1278,1.0,73.0,1,2.0
1286,2.0,40.0,0,0.0
1286,2.0,64.0,0,0.0
1286,2.0,67.0,0,0.0
1288,1.0,65.0,0,0.0
1292,2.0,54.0,1,0.0
1292,1.0,21.0,1,0.0
1292,1.0,15.0,1,0.0
1295,2.0,39.0,0,0.0
1295,2.0,50.0,0,0.0
1301,1.0,32.0,0,1.0
1301,2.0,41.0,0,1.0
1301,2.0,35.0,0,1.0
1302,1.0,62.0,0,0.0
1303,2.0,43.0,0,0.0
1312,1.0,64.0,1,1.0
1313,1.0,61.0,1,1.0
1316,2.0,27.0,1,2.0
1316,2.0,26.0,0,2.0
1320,2.0,38.0,1,2.0
1321,2.0,60.0,1,1.0
1327,2.0,65.0,1,0.0
1327,1.0,34.0,0,1.0
1327,2.0,30.0,0,1.0
1330,2.0,27.0,1,4.0
1330,2.0,35.0,0,0.0
1330,2.0,55.0,0,0.0
1331,1.0,67.0,1,0.0
1334,1.0,57.0,1,3.0
1337,2.0,60.0,0,2.0
1337,2.0,34.0,0,0.0
1341,1.0,64.0,1,1.0
1346,2.0,41.0,1,3.0
1348,1.0,63.0,1,5.0
1349,1.0,41.0,1,2.0
1349,2.0,35.0,1,2.0
1358,1.0,71.0,1,0.0
1362,1.0,45.0,0,0.0
1362,1.0,43.0,0,0.0
1373,1.0,64.0,1,0.0
1376,1.0,26.0,0,2.0
1376,1.0,70.0,0,3.0
1381,1.0,65.0,1,1.0
1383,1.0,39.0,0,0.0
1383,1.0,37.0,0,0.0
1384,2.0,66.0,1,0.0
1387,1.0,65.0,1,0.0
1392,1.0,46.0,0,0.0
1392,1.0,41.0,0,0.0
1392,2.0,42.0,0,0.0
1392,1.0,44.0,1,0.0
1393,2.0,71.0,1,0.0
1395,1.0,65.0,1,3.0
1395,2.0,41.0,0,1.0
1397,1.0,63.0,1,1.0
1397,2.0,72.0,0,2.0
1397,2.0,90.0,0,0.0
1398,2.0,38.0,0,0.0
1398,2.0,75.0,0,0.0
1398,1.0,63.0,0,0.0
1406,1.0,69.0,1,0.0
1414,2.0,57.0,1,2.0
1414,1.0,35.0,0,0.0
1414,1.0,32.0,0,0.0
1414,2.0,26.0,0,0.0
1414,1.0,25.0,0,0.0
1415,2.0,63.0,1,4.0
1417,1.0,69.0,1,1.0
1417,1.0,28.0,1,4.0
1423,1.0,64.0,1,0.0
1423,2.0,34.0,0,0.0
1430,2.0,61.0,1,3.0
1430,1.0,42.0,0,0.0
